"","LoanAmount","City","State","Zip","NAICSCode","BusinessType","RaceEthnicity","Gender","Veteran","NonProfit","JobsReported","DateApproved","Lender","CD"
"1",149800,"PITTSBURGH","PA",15234,541320,"Sole Proprietorship","Unanswered","Unanswered","Unanswered","",12,"04/14/2020","Dollar Bank, A Federal Savings Bank","PA-17"
"2",149800,"PITTSBURGH","PA",15222,541219,"Subchapter S Corporation","Unanswered","Male Owned","Unanswered","",6,"04/09/2020","First National Bank of Pennsylvania","PA-18"
"3",149646.38,"PITTSBURGH","PA",15275,713110,"Limited  Liability Company(LLC)","White","Male Owned","Non-Veteran","",45,"04/28/2020","KeyBank National Association","PA-17"
"4",149598,"Pittsburgh","PA",15221,323111,"","Unanswered","Unanswered","Unanswered","",17,"05/03/2020","KeyBank National Association","PA-18"
"5",149500,"PITTSBURGH","PA",15206,541990,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",7,"04/13/2020","S & T Bank","PA-18"
"6",149500,"PITTSBURGH","PA",15237,561421,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",27,"04/14/2020","First National Bank of Pennsylvania","PA-17"
"7",149500,"WARRENDALE","PA",15086,484230,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",11,"04/08/2020","Dollar Bank, A Federal Savings Bank","PA-17"
"8",149300,"PITTSBURGH","PA",15237,337215,"Corporation","Unanswered","Unanswered","Unanswered","",17,"05/03/2020","PNC Bank, National Association","PA-17"
"9",149237,"PITTSBURGH","PA",15219,713990,"Non-Profit Organization","Unanswered","Unanswered","Unanswered","Y",18,"04/29/2020","First National Bank of Pennsylvania","PA-18"
"10",149200,"GIBSONIA","PA",15044,541690,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",0,"04/27/2020","NexTier Bank, National Association","PA-17"
"11",149200,"BETHEL PARK","PA",15102,812210,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",24,"04/14/2020","PNC Bank, National Association","PA-18"
"12",149100,"OAKMONT","PA",15139,541990,"Corporation","Unanswered","Unanswered","Unanswered","",14,"04/09/2020","First National Bank of Pennsylvania","PA-17"
"13",149000,"LEETSDALE","PA",15056,561330,"Corporation","Unanswered","Unanswered","Unanswered","",8,"04/13/2020","PNC Bank, National Association","PA-17"
"14",149000,"IMPERIAL","PA",15126,484110,"Limited  Liability Company(LLC)","Unanswered","Male Owned","Non-Veteran","",NA,"04/15/2020","Citizens Bank, National Association","PA-17"
"15",148900,"Monroeville","PA",15146,813110,"Professional Association","Unanswered","Unanswered","Unanswered","",56,"04/30/2020","First Commonwealth Bank","PA-18"
"16",148900,"MORGAN","PA",15064,423830,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",12,"05/03/2020","PNC Bank, National Association","PA-18"
"17",148800,"PITTSBURGH","PA",15222,541810,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",0,"04/14/2020","First National Bank of Pennsylvania","PA-18"
"18",148755,"FINLEYVILLE","PA",15332,517911,"Subchapter S Corporation","White","Male Owned","Non-Veteran","",14,"04/27/2020","Community Bank","PA-14"
"19",148700,"UPPER SAINT CLAIR","PA",15241,541618,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",1,"05/06/2020","PNC Bank, National Association","PA-18"
"20",148600,"PITTSBURGH","PA",15219,541820,"Limited  Liability Company(LLC)","White","Male Owned","Non-Veteran","",9,"04/10/2020","The Huntington National Bank","PA-18"
"21",148500,"ASPINWALL","PA",15215,511120,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",12,"05/03/2020","PNC Bank, National Association","PA-17"
"22",148485,"Glenshaw","PA",15116,519120,"Non-Profit Organization","Unanswered","Male Owned","Unanswered","Y",41,"04/13/2020","1st Summit Bank","PA-17"
"23",148450,"Pittsburgh","PA",15221,423520,"Limited  Liability Company(LLC)","White","Male Owned","Veteran","",12,"06/02/2020","Marion Center Bank","PA-18"
"24",148365,"pittsburgh","PA",15215,611511,"Corporation","Unanswered","Unanswered","Unanswered","",25,"04/30/2020","WebBank","PA-17"
"25",148300,"BRIDGEVILLE","PA",15017,922160,"Professional Association","Unanswered","Male Owned","Unanswered","",0,"04/13/2020","First National Bank of Pennsylvania","PA-18"
"26",148200,"PITTSBURGH","PA",15206,813319,"Professional Association","Unanswered","Unanswered","Unanswered","",5,"04/16/2020","PNC Bank, National Association","PA-18"
"27",148200,"Pittsburgh","PA",15235,531210,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",28,"05/03/2020","PNC Bank, National Association","PA-17"
"28",148100,"PITTSBURGH","PA",15219,541512,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",11,"04/15/2020","PNC Bank, National Association","PA-18"
"29",148100,"GIBSONIA","PA",15044,541330,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",12,"05/08/2020","The Farmers National Bank of Emlenton","PA-17"
"30",148000,"PITTSBURGH","PA",15203,722511,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",20,"04/13/2020","First National Bank of Pennsylvania","PA-18"
"31",148000,"PITTSBURGH","PA",15201,813410,"Non-Profit Organization","Unanswered","Unanswered","Unanswered","Y",12,"05/03/2020","PNC Bank, National Association","PA-18"
"32",147900,"PITTSBURGH","PA",15222,621210,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",13,"04/12/2020","PNC Bank, National Association","PA-18"
"33",147800,"PITTSBURGH","PA",15228,722511,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",0,"04/15/2020","First National Bank of Pennsylvania","PA-17"
"34",147700,"PITTSBURGH","PA",15206,624190,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",28,"04/28/2020","PNC Bank, National Association","PA-18"
"35",147700,"Pittsburgh","PA",15241,522298,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",NA,"05/15/2020","Citizens Bank, National Association","PA-18"
"36",147700,"CARNEGIE","PA",15106,621420,"Limited  Liability Company(LLC)","Unanswered","Unanswered","Unanswered","",18,"05/03/2020","PNC Bank, National Association","PA-17"
"37",147681,"ALLISON PARK","PA",15101,451140,"Subchapter S Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/11/2020","NexTier Bank, National Association","PA-17"
"38",147600,"NEW KENSINGTON","PA",15068,332710,"Corporation","Unanswered","Unanswered","Unanswered","",NA,"04/27/2020","PNC Bank, National Association","PA-14"
